date,home_team,away_team,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,result,neutral,match_importance,elo_diff
1985-03-31,Togo,Senegal,1498.018075191156,1619.6056689159534,1488.2660584449998,1629.3576856621096,AWAY_WIN,False,QUALIFICATION,-121.58759372479744
1985-03-31,Malawi,Mozambique,1589.0929036729738,1472.610898758763,1589.0929036729738,1472.610898758763,DRAW,False,QUALIFICATION,116.48200491421085
1985-03-31,Malaysia,Nepal,1537.4243980761041,1307.317558618402,1544.4165838812585,1300.3253728132477,HOME_WIN,False,QUALIFICATION,230.1068394577021
1985-03-31,Ivory Coast,Mali,1602.529751942149,1589.3536383640333,1622.532906296849,1569.3504840093333,HOME_WIN,False,QUALIFICATION,13.176113578115746
1985-04-02,Bangladesh,Indonesia,1328.1280068846224,1399.4082073910185,1337.667710473582,1389.868503802059,HOME_WIN,False,QUALIFICATION,-71.28020050639611
1985-04-02,Canada,United States,1497.0167289063868,1430.32762751157,1500.6681257169068,1426.67623070105,HOME_WIN,False,FRIENDLY,66.68910139481682
1985-04-02,Syria,United Arab Emirates,1465.495409066932,1464.3384881932357,1469.6404435951424,1460.1934536650253,HOME_WIN,True,FRIENDLY,1.1569208736964356
1985-04-03,Guadeloupe,Trinidad and Tobago,1495.6639296568947,1600.253496682562,1495.6639296568947,1600.253496682562,DRAW,False,QUALIFICATION,-104.5895670256673
1985-04-03,Hungary,Cyprus,1688.0839138034462,1160.381057723848,1688.949189360895,1159.5157821663993,HOME_WIN,False,QUALIFICATION,527.7028560795982
1985-04-03,Italy,Portugal,1865.2513081904897,1667.0931791893718,1867.2597080136431,1665.0847793662183,HOME_WIN,False,FRIENDLY,198.1581290011179
1985-04-03,Malta,Jordan,1251.7203869097186,1404.2315056610694,1259.30080340976,1396.651089161028,HOME_WIN,False,FRIENDLY,-152.51111875135075
1985-04-03,Romania,Turkey,1626.3843678194598,1397.9355034274524,1631.8393360744753,1392.480535172437,HOME_WIN,False,QUALIFICATION,228.4488643920074
1985-04-03,Yugoslavia,France,1664.436395157705,1859.5768959764416,1664.436395157705,1859.5768959764416,DRAW,False,QUALIFICATION,-195.14050081873665
1985-04-04,United States,Canada,1426.67623070105,1500.6681257169068,1426.67623070105,1500.6681257169068,DRAW,False,FRIENDLY,-73.99189501585693
1985-04-05,Egypt,Madagascar,1655.5480937698565,1483.7085319762425,1659.1445721240316,1480.1120536220674,HOME_WIN,False,QUALIFICATION,171.83956179361394
1985-04-05,Bangladesh,Thailand,1337.667710473582,1470.2676118890474,1349.037635838604,1458.8976865240254,HOME_WIN,False,QUALIFICATION,-132.5999014154654
1985-04-05,Qatar,Iraq,1522.653648391376,1781.6483537671945,1552.3510962737244,1751.9509058848462,HOME_WIN,False,QUALIFICATION,-258.9947053758185
1985-04-05,Kuwait,Yemen,1645.6212248462784,1263.186456338164,1648.769702092712,1260.0379790917304,HOME_WIN,False,QUALIFICATION,382.43476850811453
1985-04-05,Bahrain,United Arab Emirates,1412.67377575074,1460.1934536650253,1416.2091919566803,1456.658037459085,HOME_WIN,False,FRIENDLY,-47.51967791428524
1985-04-06,Brunei,Hong Kong,1258.4980475451425,1440.0614139619759,1239.9220426481977,1458.6374188589207,AWAY_WIN,False,QUALIFICATION,-181.56336641683333
1985-04-06,Bulgaria,German DR,1576.3695322676863,1707.4025489588585,1587.6929588231737,1696.079122403371,HOME_WIN,False,QUALIFICATION,-131.03301669117218
1985-04-06,India,Indonesia,1349.1355990368183,1389.868503802059,1349.1355990368183,1389.868503802059,DRAW,False,QUALIFICATION,-40.73290476524062
1985-04-06,Kenya,Nigeria,1510.3602446413972,1628.6031132733403,1490.656683372464,1648.3066745422736,AWAY_WIN,False,QUALIFICATION,-118.24286863194311
1985-04-06,South Korea,Nepal,1757.1345227229604,1300.3253728132477,1759.0160485714628,1298.4438469647453,HOME_WIN,False,QUALIFICATION,456.8091499097127
1985-04-07,Ivory Coast,Ghana,1622.532906296849,1724.8118271333908,1622.532906296849,1724.8118271333908,DRAW,False,QUALIFICATION,-102.27892083654183
1985-04-07,Mali,Togo,1569.3504840093333,1488.2660584449998,1574.3851805442707,1483.2313619100623,HOME_WIN,False,FRIENDLY,81.08442556433351
1985-04-07,Morocco,Malawi,1691.771945509122,1589.0929036729738,1699.5978901803032,1581.2669590017924,HOME_WIN,False,QUALIFICATION,102.67904183614814
1985-04-07,Syria,United Arab Emirates,1469.6404435951424,1456.658037459085,1459.6231508628289,1466.6753301913986,AWAY_WIN,True,FRIENDLY,12.982406136057307
1985-04-07,Uruguay,Chile,1715.03652602448,1635.2105837245176,1720.4864240671116,1629.7606856818861,HOME_WIN,False,QUALIFICATION,79.82594229996243
1985-04-07,Zambia,Cameroon,1705.9409214157968,1688.792220186669,1719.9780158498102,1674.7551257526557,HOME_WIN,False,QUALIFICATION,17.14870122912771
1985-04-09,India,Thailand,1349.1355990368183,1458.8976865240254,1349.1355990368183,1458.8976865240254,DRAW,False,QUALIFICATION,-109.76208748720705
1985-04-12,Bahrain,Yemen DPR,1416.2091919566803,1403.7510444042903,1416.2091919566803,1403.7510444042903,DRAW,False,QUALIFICATION,12.458147552390074
1985-04-12,India,Bangladesh,1349.1355990368183,1349.037635838604,1356.6175356141807,1341.5556992612417,HOME_WIN,False,QUALIFICATION,0.09796319821430188
1985-04-12,Kuwait,Syria,1648.769702092712,1459.6231508628289,1648.769702092712,1459.6231508628289,DRAW,False,QUALIFICATION,189.14655122988302
1985-04-12,Qatar,Jordan,1552.3510962737244,1396.651089161028,1558.5027695508602,1390.4994158838922,HOME_WIN,False,QUALIFICATION,155.7000071126963
1985-04-12,Saudi Arabia,United Arab Emirates,1631.823865605757,1466.6753301913986,1631.823865605757,1466.6753301913986,DRAW,False,QUALIFICATION,165.14853541435832
1985-04-13,Brunei,Macau,1239.9220426481977,1391.4863130796878,1231.056694310163,1400.3516614177224,AWAY_WIN,False,QUALIFICATION,-151.56427043149006
1985-04-13,Canada,Haiti,1500.6681257169068,1545.2186725524257,1509.9156397928275,1535.971158476505,HOME_WIN,False,OTHER,-44.550546835518844
1985-04-14,Guinea,Ghana,1543.867971620518,1724.8118271333908,1527.8323497299116,1740.8474490239971,AWAY_WIN,False,QUALIFICATION,-180.94385551287291
1985-04-14,DR Congo,Congo,1620.422622622355,1512.0623851361431,1620.422622622355,1512.0623851361431,DRAW,False,QUALIFICATION,108.36023748621187
1985-04-14,Mali,Ivory Coast,1574.3851805442707,1622.532906296849,1574.3851805442707,1622.532906296849,DRAW,False,QUALIFICATION,-48.14772575257825
1985-04-14,Panama,Trinidad and Tobago,1253.9026653774495,1600.253496682562,1253.9026653774495,1600.253496682562,DRAW,False,FRIENDLY,-346.3508313051125
1985-04-14,Tunisia,Libya,1652.73548897228,1603.937153187558,1658.933476987227,1597.739165172611,HOME_WIN,False,QUALIFICATION,48.79833578472221
1985-04-14,Senegal,Togo,1629.3576856621096,1483.2313619100623,1629.3576856621096,1483.2313619100623,DRAW,False,QUALIFICATION,146.12632375204726
1985-04-16,Mozambique,Malawi,1472.610898758763,1581.2669590017924,1472.610898758763,1581.2669590017924,DRAW,False,QUALIFICATION,-108.65606024302951
1985-04-17,Austria,Hungary,1701.5941471303647,1688.949189360895,1674.284506764865,1716.2588297263947,AWAY_WIN,False,QUALIFICATION,12.644957769469784
1985-04-17,Colombia,Paraguay,1441.0378469122402,1546.5697940282976,1447.7344658796812,1539.8731750608565,HOME_WIN,False,FRIENDLY,-105.53194711605738
1985-04-17,German DR,Norway,1696.079122403371,1406.9742207258398,1696.879516358518,1406.1738267706928,HOME_WIN,False,FRIENDLY,289.1049016775312
1985-04-17,Germany,Bulgaria,1919.0149261131446,1587.6929588231737,1920.2969679732767,1586.4109169630417,HOME_WIN,False,FRIENDLY,331.32196728997087
1985-04-17,Panama,Trinidad and Tobago,1253.9026653774495,1600.253496682562,1253.9026653774495,1600.253496682562,DRAW,False,FRIENDLY,-346.3508313051125
1985-04-17,Poland,Finland,1810.2171849566691,1251.1722981326805,1810.4003011095017,1250.989181979848,HOME_WIN,False,FRIENDLY,559.0448868239887
1985-04-17,Switzerland,Russia,1556.1052300564504,1881.0481313625132,1556.1052300564504,1881.0481313625132,DRAW,False,QUALIFICATION,-324.9429013060628
1985-04-19,Iraq,Jordan,1751.9509058848462,1390.4994158838922,1755.60891081631,1386.8414109524283,HOME_WIN,True,QUALIFICATION,361.451490000954
1985-04-19,Colombia,Paraguay,1447.7344658796812,1539.8731750608565,1447.7344658796812,1539.8731750608565,DRAW,False,FRIENDLY,-92.13870918117527
1985-04-19,United Arab Emirates,Saudi Arabia,1466.6753301913986,1631.823865605757,1478.9996117584876,1619.499584038668,HOME_WIN,False,QUALIFICATION,-165.14853541435832
1985-04-19,Syria,Yemen,1459.6231508628289,1260.0379790917304,1465.9149549918745,1253.7461749626848,HOME_WIN,False,QUALIFICATION,199.58517177109843
1985-04-19,Algeria,Angola,1737.0788803194985,1524.327031353697,1740.0277187148556,1521.37819295834,HOME_WIN,False,QUALIFICATION,212.7518489658014
1985-04-20,Barbados,Jamaica,1392.620667950588,1336.038993731537,1392.620667950588,1336.038993731537,DRAW,False,FRIENDLY,56.58167421905114
1985-04-20,Canada,Guatemala,1509.9156397928275,1539.8242307217984,1515.4674279249539,1534.272442589672,HOME_WIN,False,OTHER,-29.908590928970852
